rGA:n2-Pc1-Pm0.01,rGA:n2-Pc0.9-Pm0.01,rGA:n2-Pc0.5-Pm0.01,rGA:n2-Pc0.1-Pm0.01,rGA:n2-Pc0-Pm0.01
17.7939,18.5795,22.3508,23.4821,22.9528
16.1628,18.5795,22.3508,23.069000000000003,22.3583
15.9578,18.5795,22.0227,22.6584,22.0826
15.7883,18.4567,22.0185,22.5613,22.0454
15.7026,18.2191,21.9531,21.6046,21.9802
15.6848,18.0855,21.6511,21.5886,21.9239
15.5987,18.0191,21.1572,20.0601,21.7429
15.5664,18.0191,20.779,19.9257,21.5564
15.555,17.7254,20.779,19.9146,21.5564
15.555,17.6835,20.6694,19.8502,21.5564
15.481,17.6378,20.6694,19.7234,21.4457
15.448,17.6146,20.3779,19.5622,21.4431
15.1643,16.9686,20.2999,19.432000000000002,20.706
15.1643,16.4603,20.2988,19.309,20.2523
14.838,15.8225,20.2609,18.87,19.8216
14.642000000000001,15.8099,20.254,18.7777,19.6707
14.4465,15.645,20.215999999999998,18.3359,19.6261
14.4191,15.3452,20.0704,18.2568,19.618
14.3413,15.157,20.0704,18.2456,19.618
14.3413,14.8648,20.0704,18.2456,19.5086
14.3413,14.6845,19.5824,18.2444,18.9282
13.9607,14.3064,19.1691,18.0158,18.7292
13.6554,14.037,18.2608,18.0022,18.7292
13.6554,14.0333,18.1572,17.9222,18.7223
13.0125,13.9929,18.1081,17.9222,18.1562
12.9925,13.9903,18.1081,17.9158,17.5108
12.9925,13.9319,17.8714,17.8298,17.5108
12.9686,13.9319,17.8714,17.8298,17.5067
12.9305,13.9288,17.798,17.7075,17.1921
12.7321,13.824000000000002,17.6874,17.6249,17.1323
12.7321,13.8008,17.221,17.5755,17.0723
12.7003,13.001,16.8848,17.5755,16.3572
12.7003,12.860999999999999,16.8023,17.2695,16.2796
12.7003,12.860999999999999,16.7167,17.1709,16.1461
12.6959,12.860999999999999,16.5487,16.6583,15.9914
12.6876,12.860999999999999,16.3962,16.142,15.9695
12.6876,12.8481,16.2181,15.8346,15.9222
12.5136,12.4319,16.117,15.519,15.9121
12.5136,12.4319,16.117,15.0096,15.905
12.4433,12.3568,16.117,14.927,15.905
12.3515,12.3568,16.117,14.927,15.6255
12.1865,12.3568,16.117,14.927,15.0478
12.1388,12.2216,16.117,14.927,14.8178
12.1388,12.1656,15.7099,14.4482,14.6508
12.1264,12.0869,15.6888,14.4299,14.6508
11.9332,12.0582,15.0221,14.1197,14.5626
11.7597,12.0582,14.8213,14.1197,14.515999999999998
11.743,12.0198,14.8018,14.1197,14.4943
11.6688,11.9613,14.1492,14.0715,14.4943
11.5827,11.9613,14.1492,14.003,14.299000000000001
11.4804,11.9613,14.0256,13.997,14.24
11.4794,11.9047,13.987,13.9101,13.9663
11.4794,11.9044,13.8299,13.7353,13.5013
10.9919,11.9044,13.8299,13.7353,13.5013
10.9641,11.8231,13.4403,13.6101,13.4498
10.9353,11.8231,13.4403,13.5566,13.4401
10.9353,11.8231,13.3707,13.5008,13.4286
10.3595,11.8231,13.3707,12.8116,13.4286
10.3352,11.8231,13.2149,12.4604,13.4286
10.2313,11.8008,13.2149,12.4604,13.4286
10.164,11.4072,13.1735,12.3978,13.2056
10.1206,11.4072,13.0012,12.3285,13.2056
10.0302,11.3291,12.9804,12.2807,13.1377
10.0302,11.2228,12.9804,11.9716,12.9981
9.98794,11.1951,12.9804,11.7592,12.9867
9.98002,11.1951,12.9662,11.6924,12.828
9.68482,11.1951,12.9587,11.6686,12.828
9.67394,11.1951,12.9581,11.6686,12.7403
9.504660000000001,11.1951,12.8167,11.5923,12.5553
9.50227,11.1951,12.6854,11.5724,12.3924
9.50227,11.17,12.6812,11.5658,12.3846
9.46009,11.17,12.6812,11.3284,12.3759
9.437439999999999,11.17,12.3997,10.7608,12.2619
9.378689999999999,11.0776,12.2169,10.6354,12.2077
9.378689999999999,10.8382,12.0063,10.6354,12.1717
9.294889999999999,10.8294,11.991,10.5896,11.8375
9.28784,10.8294,11.9803,10.577,11.815
9.27179,10.8253,11.9756,10.4767,11.7002
9.104239999999999,10.6923,11.9756,10.4767,11.5482
9.077539999999999,10.6668,11.9756,10.3336,11.5394
9.077539999999999,10.6518,11.9756,10.2828,11.5394
9.04584,10.6518,11.9756,10.2828,11.5067
8.930489999999999,10.6518,11.6001,10.2608,11.4974
8.81184,10.6518,11.6001,10.2092,11.4974
8.77023,10.6112,11.5763,10.1304,11.4954
8.77023,10.6112,11.569,10.1304,11.4478
8.77023,10.2392,11.0565,10.1304,11.4445
8.74007,10.2392,11.0565,10.0789,11.4406
8.74007,10.2353,11.0565,10.0045,11.4359
8.6758,10.2353,10.9847,9.98557,11.3231
8.63492,10.2244,10.9489,9.97364,11.2228
8.63492,10.1504,10.8359,9.97364,11.0666
8.63492,10.1504,10.7991,9.94519,11.0666
8.63492,10.0583,10.7951,9.94519,11.0666
8.63492,10.0464,10.6485,9.8015,10.927
8.32436,9.9451,10.6479,9.77501,10.884
8.32436,9.9451,10.6479,9.67925,10.884
8.27406,9.93705,10.6479,9.523819999999999,10.884
8.27406,9.93705,10.6456,9.38013,10.8104
8.268369999999999,9.93705,10.5891,9.38013,10.7582
8.17784,9.70171,10.5891,9.32312,10.7411
8.09033,9.70171,10.4051,9.32312,10.7039
8.0888,9.484210000000001,10.3334,9.23658,10.538
8.07655,9.2558,10.3334,9.23658,10.505999999999998
8.050839999999999,9.2558,10.1353,9.23658,10.505999999999998
8.05075,9.2558,10.1353,9.225769999999999,10.4838
7.99516,9.2558,10.1353,8.97223,10.4838
7.993130000000001,9.109960000000001,10.1353,8.79402,10.4824
7.9762699999999995,8.780619999999999,10.1315,8.78939,10.4824
7.97422,8.72976,10.1214,8.73785,10.4824
7.6874899999999995,8.69053,10.1214,8.73785,10.4473
7.6874899999999995,8.66563,10.1214,8.631780000000001,10.4326
7.6874899999999995,8.6422,10.0907,8.631780000000001,10.4326
7.6874899999999995,8.6386,10.0907,8.43948,10.3281
7.447889999999999,8.62694,9.99197,8.387889999999999,10.2835
7.32647,8.62676,9.9907,8.34044,10.2344
7.250360000000001,8.62676,9.96172,8.34044,10.2344
7.250360000000001,8.62676,9.82422,8.34044,10.2344
7.24255,8.280710000000001,9.57821,8.238610000000001,10.1956
7.0519300000000005,8.214960000000001,9.57821,8.23654,10.1956
7.0519300000000005,8.214210000000001,9.57421,8.23654,10.1339
6.972169999999999,8.097389999999999,9.57421,8.15665,10.0677
6.972169999999999,8.097389999999999,9.5512,8.10336,9.9189
6.847230000000001,8.06288,9.29782,8.10336,9.54902
6.7755399999999995,8.06288,9.288739999999999,8.10336,9.48895
6.61843,7.886360000000001,9.27915,8.10336,9.35907
6.61573,7.8842,9.26624,7.95644,9.17953
6.58822,7.77455,9.26624,7.95644,9.11171
6.14604,7.75183,9.24275,7.95598,9.00366
6.1153900000000005,7.710660000000001,8.58716,7.83392,8.998289999999999
6.10556,7.710660000000001,8.58716,7.83392,8.998289999999999
6.08879,7.710660000000001,8.57232,7.80285,8.89673
6.03222,7.44839,8.57232,7.79293,8.70476
6.0003,7.35078,8.57232,7.79293,8.70476
5.9480900000000005,7.2663899999999995,8.57116,7.77809,8.70476
5.899780000000001,7.2663899999999995,8.5448,7.77809,8.49827
5.899780000000001,7.25432,8.50607,7.77809,8.49827
5.7547,7.25432,8.50607,7.6897899999999995,8.4896
5.7547,7.226719999999999,8.4901,7.6897899999999995,8.4896
5.7547,7.22433,8.29987,7.656289999999999,8.4896
5.74731,7.22045,8.28787,7.656289999999999,8.4896
5.6911,7.22045,8.274569999999999,7.609489999999999,8.48812
5.6911,7.1787399999999995,8.27282,7.609489999999999,8.48739
5.64608,7.1787399999999995,8.21562,7.4936,8.22187
5.59698,7.14372,8.21562,7.4936,8.067730000000001
5.59698,6.95512,8.183010000000001,7.45827,8.067730000000001
5.59698,6.95512,8.183010000000001,7.189369999999999,7.8694
5.5236,6.93336,8.1175,7.18737,7.81761
5.50168,6.93336,8.07404,7.1687199999999995,7.767519999999999
5.49745,6.811610000000001,7.82747,7.12592,7.692489999999999
5.470330000000001,6.8007100000000005,7.768689999999999,7.12166,7.632219999999999
5.470330000000001,6.7994699999999995,7.73822,7.12166,7.632219999999999
5.46621,6.76312,7.73612,7.12166,7.52584
5.45055,6.6837800000000005,7.6376100000000005,7.12166,7.49218
5.45055,6.6837800000000005,7.6376100000000005,7.12166,7.45518
5.45055,6.66323,7.47328,6.871389999999999,7.39098
5.39268,6.650239999999999,7.40526,6.871389999999999,7.3830100000000005
5.27031,6.641839999999999,7.3277600000000005,6.81942,7.36543
5.2699,6.59938,7.3277600000000005,6.7066300000000005,7.3647100000000005
5.24381,6.52834,7.3277600000000005,6.60163,7.3647100000000005
5.19572,6.52834,7.29069,6.60163,7.31758
5.13737,6.52267,7.20759,6.60163,6.97243
5.08723,6.52267,7.20746,6.60163,6.32191
5.053999999999999,6.49011,7.20717,6.60163,6.3212
4.95592,6.49011,7.18134,6.59093,6.07964
4.95424,6.44899,7.1775899999999995,6.54536,6.06531
4.95424,6.40756,7.1775899999999995,6.5352,6.06531
4.95424,6.40756,7.1775899999999995,6.5352,5.97689
4.95424,6.40756,7.1775899999999995,6.51336,5.9587699999999995
4.933,6.38544,7.17382,6.50036,5.8749400000000005
4.933,6.38008,7.1559800000000005,6.4937,5.8749400000000005
4.9166,6.3653699999999995,7.1487300000000005,6.49263,5.76978
4.9166,6.32575,7.1487300000000005,6.31013,5.65636
4.8459,6.32575,7.1487300000000005,6.20204,5.65636
4.825419999999999,6.32575,7.14607,6.17561,5.63276
4.79614,6.29629,7.14607,6.17561,5.59208
4.79614,6.29629,7.03072,6.14487,5.57602
4.79614,6.05778,6.96501,6.14487,5.55681
4.79614,6.05778,6.86676,6.073180000000001,5.55595
4.7784699999999996,6.05778,6.86676,6.073180000000001,5.48117
4.77283,6.00392,6.760389999999999,6.073180000000001,5.2816
4.72422,5.85309,6.7537,6.00971,5.27457
4.71782,5.83381,6.75035,5.99416,5.24397
4.68064,5.83381,6.6395,5.6725699999999994,5.24397
4.66482,5.64372,6.47285,5.67148,5.24397
4.66482,5.599130000000001,6.47285,5.61512,5.24397
4.66482,5.599130000000001,6.29977,5.61227,5.141030000000001
4.6557900000000005,5.599130000000001,6.022819999999999,5.59945,5.12566
4.65131,5.599130000000001,6.012630000000001,5.59945,5.11632
4.51348,5.544569999999999,5.96621,5.59945,5.11632
4.5129,5.54344,5.96621,5.59663,5.11632
4.5129,5.3537300000000005,5.95872,5.59259,5.11632
4.5129,5.3537300000000005,5.94739,5.52095,5.11632
4.5129,5.34627,5.88743,5.0582199999999995,4.97766
4.50875,5.34443,5.83421,5.056109999999999,4.97766
4.48119,5.30858,5.79957,5.02227,4.97766
4.42274,5.30745,5.79957,4.95064,4.97682
4.4217699999999995,5.30745,5.79957,4.95064,4.95033
4.4217699999999995,5.28417,5.581119999999999,4.95064,4.94954
4.4217699999999995,5.28417,5.546880000000001,4.82281,4.9000699999999995
4.4217699999999995,5.27749,5.546880000000001,4.73799,4.87518
4.419919999999999,5.27749,5.546880000000001,4.72766,4.87518
4.34311,5.27749,5.546880000000001,4.714169999999999,4.87445
4.34311,5.27749,5.546880000000001,4.69686,4.75897
4.33807,5.27749,5.546880000000001,4.689030000000001,4.75897
4.30799,5.13488,5.546880000000001,4.612419999999999,4.75699
4.1573199999999995,5.13488,5.546880000000001,4.57319,4.74763
4.1573199999999995,5.11166,5.52555,4.52914,4.74763
4.1494,5.06781,5.52555,4.52914,4.74763
4.14671,5.06781,5.50621,4.3772199999999994,4.74726
4.14671,5.06768,5.50621,4.3772199999999994,4.74726
4.14366,5.04068,5.48803,4.3772199999999994,4.71988
4.14366,5.04068,5.46361,4.37115,4.71988
4.14366,5.0319400000000005,5.46361,4.37115,4.69459
4.14335,5.0319400000000005,5.46361,4.37115,4.69453
4.14335,5.0319400000000005,5.45834,4.37115,4.69453
4.140619999999999,5.0319400000000005,5.45705,4.35199,4.60773
4.140619999999999,5.0319400000000005,5.4448300000000005,4.35199,4.55405
4.140619999999999,4.9829099999999995,5.44169,4.35199,4.55371
4.1310199999999995,4.93467,5.41525,4.34975,4.55371
4.06071,4.93467,5.41525,4.34975,4.55371
4.06071,4.90965,5.38722,4.34975,4.5179
4.06071,4.90965,5.38722,4.34975,4.5179
3.97064,4.7438199999999995,5.38722,4.2956199999999995,4.5179
3.9418599999999997,4.7438199999999995,5.38722,4.2956199999999995,4.5179
3.9418599999999997,4.699269999999999,4.89671,4.2956199999999995,4.29862
3.81566,4.69401,4.89671,4.2956199999999995,4.29862
3.74594,4.69401,4.8097900000000005,4.15925,4.29453
3.73955,4.68317,4.8097900000000005,4.15925,4.272069999999999
3.73955,4.68211,4.8097900000000005,4.15925,4.272069999999999
3.73955,4.68211,4.8097900000000005,4.15925,4.271730000000001
3.73889,4.68211,4.8097900000000005,4.15925,4.25456
3.69449,4.68211,4.70608,4.15925,4.21568
3.69449,4.65375,4.70139,4.15925,4.21448
3.6928099999999997,4.65143,4.70139,4.15925,4.2080400000000004
3.5880199999999998,4.65143,4.6489400000000005,4.116569999999999,4.2080400000000004
